Binance Pair,Currency,Market
PIVXBTC,PIVX,BTC
IOSTBTC,IOST,BTC
STEEMBTC,STEEM,BTC
NANOBTC,NANO,BTC
BLZBTC,BLZ,BTC
ZILBTC,ZIL,BTC
ONTBTC,ONT,BTC
QTUMUSDT,QTUM,USDT
XEMBTC,XEM,BTC
WANBTC,WAN,BTC
QLCBTC,QLC,BTC
SYSBTC,SYS,BTC
GRSBTC,GRS,BTC
ADAUSDT,ADA,USDT
LOOMBTC,LOOM,BTC
XRPUSDT,XRP,USDT
REPBTC,REP,BTC
ZENBTC,ZEN,BTC
EOSUSDT,EOS,USDT
CVCBTC,CVC,BTC
THETABTC,THETA,BTC
TUSDUSDT,TUSD,USDT
IOTAUSDT,IOTA,USDT
XLMUSDT,XLM,USDT
IOTXBTC,IOTX,BTC
QKCBTC,QKC,BTC
NXSBTC,NXS,BTC
DATABTC,DATA,BTC
ONTUSDT,ONT,USDT
TRXUSDT,TRX,USDT
ETCUSDT,ETC,USDT
ICXUSDT,ICX,USDT
SCBTC,SC,BTC
NASBTC,NAS,BTC
ARDRBTC,ARDR,BTC
NULSUSDT,NULS,USDT
VETBTC,VET,BTC
VETUSDT,VET,USDT
DOCKBTC,DOCK,BTC
POLYBTC,POLY,BTC
GOBTC,GO,BTC
RVNBTC,RVN,BTC
DCRBTC,DCR,BTC
MITHBTC,MITH,BTC
RENBTC,REN,BTC
USDCUSDT,USDC,USDT
LINKUSDT,LINK,USDT
WAVESUSDT,WAVES,USDT
BTTUSDT,BTT,USDT
ONGBTC,ONG,BTC
ONGUSDT,ONG,USDT
HOTUSDT,HOT,USDT
ZILUSDT,ZIL,USDT
ZRXUSDT,ZRX,USDT
FETBTC,FET,BTC
FETUSDT,FET,USDT
BATUSDT,BAT,USDT
XMRUSDT,XMR,USDT
ZECUSDT,ZEC,USDT
IOSTUSDT,IOST,USDT
CELRBTC,CELR,BTC
CELRUSDT,CELR,USDT
DASHUSDT,DASH,USDT
NANOUSDT,NANO,USDT
OMGUSDT,OMG,USDT
THETAUSDT,THETA,USDT
ENJUSDT,ENJ,USDT
MITHUSDT,MITH,USDT
MATICBTC,MATIC,BTC
MATICUSDT,MATIC,USDT
ATOMBTC,ATOM,BTC
ATOMUSDT,ATOM,USDT
PHBBTC,PHB,BTC
TFUELBTC,TFUEL,BTC
TFUELUSDT,TFUEL,USDT
ONEBTC,ONE,BTC
ONEUSDT,ONE,USDT
FTMBTC,FTM,BTC
FTMUSDT,FTM,USDT
ALGOBTC,ALGO,BTC
ALGOUSDT,ALGO,USDT
GTOUSDT,GTO,USDT
DOGEBTC,DOGE,BTC
DOGEUSDT,DOGE,USDT
DUSKBTC,DUSK,BTC
DUSKUSDT,DUSK,USDT
ANKRBTC,ANKR,BTC
ANKRUSDT,ANKR,USDT
WINUSDT,WIN,USDT
COSBTC,COS,BTC
COSUSDT,COS,USDT
COCOSUSDT,COCOS,USDT
MTLUSDT,MTL,USDT
TOMOBTC,TOMO,BTC
TOMOUSDT,TOMO,USDT
PERLBTC,PERL,BTC
PERLUSDT,PERL,USDT
DENTUSDT,DENT,USDT
MFTUSDT,MFT,USDT
KEYUSDT,KEY,USDT
DOCKUSDT,DOCK,USDT
WANUSDT,WAN,USDT
FUNUSDT,FUN,USDT
CVCUSDT,CVC,USDT
CHZBTC,CHZ,BTC
CHZUSDT,CHZ,USDT
BANDBTC,BAND,BTC
BANDUSDT,BAND,USDT
BNBBUSD,BNB,BUSD
BTCBUSD,BTC,BUSD
BUSDUSDT,BUSD,USDT
BEAMBTC,BEAM,BTC
BEAMUSDT,BEAM,USDT
XTZBTC,XTZ,BTC
XTZUSDT,XTZ,USDT
RENUSDT,REN,USDT
RVNUSDT,RVN,USDT
HBARBTC,HBAR,BTC
HBARUSDT,HBAR,USDT
NKNBTC,NKN,BTC
NKNUSDT,NKN,USDT
XRPBUSD,XRP,BUSD
ETHBUSD,ETH,BUSD
LTCBUSD,LTC,BUSD
LINKBUSD,LINK,BUSD
ETCBUSD,ETC,BUSD
STXBTC,STX,BTC
STXUSDT,STX,USDT
KAVABTC,KAVA,BTC
KAVAUSDT,KAVA,USDT
ARPABTC,ARPA,BTC
ARPAUSDT,ARPA,USDT
TRXBUSD,TRX,BUSD
EOSBUSD,EOS,BUSD
IOTXUSDT,IOTX,USDT
RLCUSDT,RLC,USDT
XLMBUSD,XLM,BUSD
ADABUSD,ADA,BUSD
CTXCBTC,CTXC,BTC
CTXCUSDT,CTXC,USDT
BCHBTC,BCH,BTC
BCHUSDT,BCH,USDT
BCHBUSD,BCH,BUSD
TROYUSDT,TROY,USDT
QTUMBUSD,QTUM,BUSD
VETBUSD,VET,BUSD
VITEBTC,VITE,BTC
VITEUSDT,VITE,USDT
FTTBTC,FTT,BTC
FTTUSDT,FTT,USDT
EURBUSD,EUR,BUSD
EURUSDT,EUR,USDT
OGNBTC,OGN,BTC
OGNUSDT,OGN,USDT
DREPBTC,DREP,BTC
DREPUSDT,DREP,USDT
TCTBTC,TCT,BTC
TCTUSDT,TCT,USDT
WRXBTC,WRX,BTC
WRXUSDT,WRX,USDT
ICXBUSD,ICX,BUSD
BTSUSDT,BTS,USDT
LSKUSDT,LSK,USDT
BNTUSDT,BNT,USDT
BNTBUSD,BNT,BUSD
LTOBTC,LTO,BTC
LTOUSDT,LTO,USDT
ATOMBUSD,ATOM,BUSD
DASHBUSD,DASH,BUSD
NEOBUSD,NEO,BUSD
WAVESBUSD,WAVES,BUSD
XTZBUSD,XTZ,BUSD
BATBUSD,BAT,BUSD
ENJBUSD,ENJ,BUSD
NANOBUSD,NANO,BUSD
ONTBUSD,ONT,BUSD
RVNBUSD,RVN,BUSD
AIONUSDT,AION,USDT
MBLUSDT,MBL,USDT
COTIBTC,COTI,BTC
COTIUSDT,COTI,USDT
ALGOBUSD,ALGO,BUSD
BTTBUSD,BTT,BUSD
TOMOBUSD,TOMO,BUSD
XMRBUSD,XMR,BUSD
ZECBUSD,ZEC,BUSD
STPTBTC,STPT,BTC
STPTUSDT,STPT,USDT
WTCUSDT,WTC,USDT
DATABUSD,DATA,BUSD
DATAUSDT,DATA,USDT
SOLBTC,SOL,BTC
SOLUSDT,SOL,USDT
SOLBUSD,SOL,BUSD
CTSIBTC,CTSI,BTC
CTSIUSDT,CTSI,USDT
CTSIBUSD,CTSI,BUSD
HIVEBTC,HIVE,BTC
HIVEUSDT,HIVE,USDT
CHRBTC,CHR,BTC
CHRUSDT,CHR,USDT
BTCUPUSDT,BTCUP,USDT
BTCDOWNUSDT,BTCDOWN,USDT
GXSUSDT,GXS,USDT
ARDRUSDT,ARDR,USDT
HBARBUSD,HBAR,BUSD
MATICBUSD,MATIC,BUSD
WRXBUSD,WRX,BUSD
ZILBUSD,ZIL,BUSD
MDTBTC,MDT,BTC
MDTUSDT,MDT,USDT
STMXBTC,STMX,BTC
STMXUSDT,STMX,USDT
KNCBUSD,KNC,BUSD
KNCUSDT,KNC,USDT
REPUSDT,REP,USDT
LRCBUSD,LRC,BUSD
LRCUSDT,LRC,USDT
IQBUSD,IQ,BUSD
PNTBTC,PNT,BTC
PNTUSDT,PNT,USDT
GBPBUSD,GBP,BUSD
DGBBTC,DGB,BTC
DGBBUSD,DGB,BUSD
COMPBTC,COMP,BTC
COMPBUSD,COMP,BUSD
COMPUSDT,COMP,USDT
SCUSDT,SC,USDT
ZENUSDT,ZEN,USDT
SXPBTC,SXP,BTC
SXPBUSD,SXP,BUSD
SNXBTC,SNX,BTC
SNXBUSD,SNX,BUSD
SNXUSDT,SNX,USDT
ETHUPUSDT,ETHUP,USDT
ETHDOWNUSDT,ETHDOWN,USDT
ADAUPUSDT,ADAUP,USDT
ADADOWNUSDT,ADADOWN,USDT
LINKUPUSDT,LINKUP,USDT
LINKDOWNUSDT,LINKDOWN,USDT
VTHOUSDT,VTHO,USDT
DGBUSDT,DGB,USDT
GBPUSDT,GBP,USDT
STORJBUSD,STORJ,BUSD
SXPUSDT,SXP,USDT
IRISBTC,IRIS,BTC
MKRBTC,MKR,BTC
MKRUSDT,MKR,USDT
MKRBUSD,MKR,BUSD
RUNEBTC,RUNE,BTC
RUNEBUSD,RUNE,BUSD
MANABUSD,MANA,BUSD
DOGEBUSD,DOGE,BUSD
ZRXBUSD,ZRX,BUSD
DCRUSDT,DCR,USDT
STORJUSDT,STORJ,USDT
AUDBUSD,AUD,BUSD
FIOBTC,FIO,BTC
FIOBUSD,FIO,BUSD
BNBUPUSDT,BNBUP,USDT
BNBDOWNUSDT,BNBDOWN,USDT
XTZUPUSDT,XTZUP,USDT
XTZDOWNUSDT,XTZDOWN,USDT
AVABTC,AVA,BTC
AVABUSD,AVA,BUSD
IOTABUSD,IOTA,BUSD
MANAUSDT,MANA,USDT
AUDUSDT,AUD,USDT
BALBTC,BAL,BTC
BALBUSD,BAL,BUSD
YFIBTC,YFI,BTC
YFIBUSD,YFI,BUSD
YFIUSDT,YFI,USDT
BALUSDT,BAL,USDT
BLZUSDT,BLZ,USDT
IRISUSDT,IRIS,USDT
KMDUSDT,KMD,USDT
JSTBTC,JST,BTC
JSTBUSD,JST,BUSD
JSTUSDT,JST,USDT
SRMBTC,SRM,BTC
SRMBUSD,SRM,BUSD
SRMUSDT,SRM,USDT
ANTBTC,ANT,BTC
ANTBUSD,ANT,BUSD
ANTUSDT,ANT,USDT
CRVBTC,CRV,BTC
CRVBUSD,CRV,BUSD
CRVUSDT,CRV,USDT
SANDBTC,SAND,BTC
SANDUSDT,SAND,USDT
SANDBUSD,SAND,BUSD
OCEANBTC,OCEAN,BTC
OCEANBUSD,OCEAN,BUSD
OCEANUSDT,OCEAN,USDT
NMRBTC,NMR,BTC
NMRBUSD,NMR,BUSD
NMRUSDT,NMR,USDT
DOTBTC,DOT,BTC
DOTBUSD,DOT,BUSD
DOTUSDT,DOT,USDT
LUNABTC,LUNA,BTC
LUNABUSD,LUNA,BUSD
LUNAUSDT,LUNA,USDT
IDEXBTC,IDEX,BTC
IDEXBUSD,IDEX,BUSD
RSRBTC,RSR,BTC
RSRBUSD,RSR,BUSD
RSRUSDT,RSR,USDT
PAXGBTC,PAXG,BTC
PAXGUSDT,PAXG,USDT
WNXMBTC,WNXM,BTC
WNXMUSDT,WNXM,USDT
TRBBTC,TRB,BTC
TRBBUSD,TRB,BUSD
TRBUSDT,TRB,USDT
BZRXBTC,BZRX,BTC
BZRXBUSD,BZRX,BUSD
BZRXUSDT,BZRX,USDT
WBTCBTC,WBTC,BTC
SUSHIBTC,SUSHI,BTC
SUSHIBUSD,SUSHI,BUSD
SUSHIUSDT,SUSHI,USDT
YFIIBTC,YFII,BTC
YFIIBUSD,YFII,BUSD
YFIIUSDT,YFII,USDT
KSMBTC,KSM,BTC
KSMBUSD,KSM,BUSD
KSMUSDT,KSM,USDT
EGLDBTC,EGLD,BTC
EGLDBUSD,EGLD,BUSD
EGLDUSDT,EGLD,USDT
DIABTC,DIA,BTC
DIABUSD,DIA,BUSD
DIAUSDT,DIA,USDT
RUNEUSDT,RUNE,USDT
FIOUSDT,FIO,USDT
UMABTC,UMA,BTC
UMAUSDT,UMA,USDT
EOSUPUSDT,EOSUP,USDT
EOSDOWNUSDT,EOSDOWN,USDT
TRXUPUSDT,TRXUP,USDT
TRXDOWNUSDT,TRXDOWN,USDT
XRPUPUSDT,XRPUP,USDT
XRPDOWNUSDT,XRPDOWN,USDT
DOTUPUSDT,DOTUP,USDT
DOTDOWNUSDT,DOTDOWN,USDT
BELBTC,BEL,BTC
BELBUSD,BEL,BUSD
BELUSDT,BEL,USDT
WINGBTC,WING,BTC
WINGBUSD,WING,BUSD
WINGUSDT,WING,USDT
LTCUPUSDT,LTCUP,USDT
LTCDOWNUSDT,LTCDOWN,USDT
CREAMBUSD,CREAM,BUSD
UNIBTC,UNI,BTC
UNIBUSD,UNI,BUSD
UNIUSDT,UNI,USDT
NBSUSDT,NBS,USDT
OXTBTC,OXT,BTC
OXTUSDT,OXT,USDT
SUNUSDT,SUN,USDT
AVAXBTC,AVAX,BTC
AVAXBUSD,AVAX,BUSD
AVAXUSDT,AVAX,USDT
HNTBTC,HNT,BTC
HNTUSDT,HNT,USDT
FLMBTC,FLM,BTC
FLMBUSD,FLM,BUSD
FLMUSDT,FLM,USDT
SCRTBTC,SCRT,BTC
CAKEBUSD,CAKE,BUSD
UNIUPUSDT,UNIUP,USDT
UNIDOWNUSDT,UNIDOWN,USDT
ORNBTC,ORN,BTC
ORNUSDT,ORN,USDT
UTKBTC,UTK,BTC
UTKUSDT,UTK,USDT
XVSBTC,XVS,BTC
XVSBUSD,XVS,BUSD
XVSUSDT,XVS,USDT
ALPHABTC,ALPHA,BTC
ALPHABUSD,ALPHA,BUSD
ALPHAUSDT,ALPHA,USDT
VIDTBTC,VIDT,BTC
VIDTBUSD,VIDT,BUSD
AAVEBTC,AAVE,BTC
AAVEBUSD,AAVE,BUSD
AAVEUSDT,AAVE,USDT
NEARBTC,NEAR,BTC
NEARBUSD,NEAR,BUSD
NEARUSDT,NEAR,USDT
FILBTC,FIL,BTC
FILBUSD,FIL,BUSD
FILUSDT,FIL,USDT
FILUPUSDT,FILUP,USDT
FILDOWNUSDT,FILDOWN,USDT
YFIUPUSDT,YFIUP,USDT
YFIDOWNUSDT,YFIDOWN,USDT
INJBTC,INJ,BTC
INJBUSD,INJ,BUSD
INJUSDT,INJ,USDT
AERGOBTC,AERGO,BTC
AERGOBUSD,AERGO,BUSD
ONEBUSD,ONE,BUSD
AUDIOBTC,AUDIO,BTC
AUDIOBUSD,AUDIO,BUSD
AUDIOUSDT,AUDIO,USDT
CTKBTC,CTK,BTC
CTKBUSD,CTK,BUSD
CTKUSDT,CTK,USDT
BCHUPUSDT,BCHUP,USDT
BCHDOWNUSDT,BCHDOWN,USDT
AKROBTC,AKRO,BTC
AKROUSDT,AKRO,USDT
KP3RBUSD,KP3R,BUSD
AXSBTC,AXS,BTC
AXSBUSD,AXS,BUSD
AXSUSDT,AXS,USDT
HARDBTC,HARD,BTC
HARDBUSD,HARD,BUSD
HARDUSDT,HARD,USDT
RENBTCBTC,RENBTC,BTC
DNTBUSD,DNT,BUSD
DNTUSDT,DNT,USDT
CVPBUSD,CVP,BUSD
STRAXBTC,STRAX,BTC
STRAXBUSD,STRAX,BUSD
STRAXUSDT,STRAX,USDT
FORBTC,FOR,BTC
FORBUSD,FOR,BUSD
UNFIBTC,UNFI,BTC
UNFIBUSD,UNFI,BUSD
UNFIUSDT,UNFI,USDT
FRONTBUSD,FRONT,BUSD
ROSEBTC,ROSE,BTC
ROSEBUSD,ROSE,BUSD
ROSEUSDT,ROSE,USDT
AVAUSDT,AVA,USDT
SYSBUSD,SYS,BUSD
XEMUSDT,XEM,USDT
HEGICBUSD,HEGIC,BUSD
PROMBUSD,PROM,BUSD
SKLBTC,SKL,BTC
SKLBUSD,SKL,BUSD
SKLUSDT,SKL,USDT
SUSDUSDT,SUSD,USDT
GLMBTC,GLM,BTC
GHSTBUSD,GHST,BUSD
SUSHIUPUSDT,SUSHIUP,USDT
SUSHIDOWNUSDT,SUSHIDOWN,USDT
XLMUPUSDT,XLMUP,USDT
XLMDOWNUSDT,XLMDOWN,USDT
DFBUSD,DF,BUSD
GRTBTC,GRT,BTC
GRTUSDT,GRT,USDT
JUVBTC,JUV,BTC
JUVBUSD,JUV,BUSD
JUVUSDT,JUV,USDT
PSGBTC,PSG,BTC
PSGBUSD,PSG,BUSD
PSGUSDT,PSG,USDT
1INCHBTC,1INCH,BTC
1INCHUSDT,1INCH,USDT
REEFBTC,REEF,BTC
REEFUSDT,REEF,USDT
OGBTC,OG,BTC
OGUSDT,OG,USDT
ATMBTC,ATM,BTC
ATMUSDT,ATM,USDT
ASRBTC,ASR,BTC
ASRUSDT,ASR,USDT
CELOBTC,CELO,BTC
CELOUSDT,CELO,USDT
RIFBTC,RIF,BTC
RIFUSDT,RIF,USDT
BTCSTBTC,BTCST,BTC
BTCSTBUSD,BTCST,BUSD
BTCSTUSDT,BTCST,USDT
TRUBTC,TRU,BTC
TRUUSDT,TRU,USDT
DEXEBUSD,DEXE,BUSD
USDCBUSD,USDC,BUSD
TUSDBUSD,TUSD,BUSD
CKBBTC,CKB,BTC
CKBBUSD,CKB,BUSD
CKBUSDT,CKB,USDT
TWTBTC,TWT,BTC
TWTBUSD,TWT,BUSD
TWTUSDT,TWT,USDT
FIROBTC,FIRO,BTC
FIROUSDT,FIRO,USDT
LITBTC,LIT,BTC
LITBUSD,LIT,BUSD
LITUSDT,LIT,USDT
SFPBTC,SFP,BTC
SFPBUSD,SFP,BUSD
SFPUSDT,SFP,USDT
FXSBTC,FXS,BTC
FXSBUSD,FXS,BUSD
DODOBTC,DODO,BTC
DODOBUSD,DODO,BUSD
DODOUSDT,DODO,USDT
FRONTBTC,FRONT,BTC
CAKEBTC,CAKE,BTC
CAKEUSDT,CAKE,USDT
BAKEBUSD,BAKE,BUSD
UFTBUSD,UFT,BUSD
1INCHBUSD,1INCH,BUSD
BANDBUSD,BAND,BUSD
GRTBUSD,GRT,BUSD
IOSTBUSD,IOST,BUSD
OMGBUSD,OMG,BUSD
REEFBUSD,REEF,BUSD
ACMBTC,ACM,BTC
ACMBUSD,ACM,BUSD
ACMUSDT,ACM,USDT
AUCTIONBTC,AUCTION,BTC
AUCTIONBUSD,AUCTION,BUSD
PHABTC,PHA,BTC
PHABUSD,PHA,BUSD
TVKBTC,TVK,BTC
TVKBUSD,TVK,BUSD
BADGERBTC,BADGER,BTC
BADGERBUSD,BADGER,BUSD
BADGERUSDT,BADGER,USDT
FISBTC,FIS,BTC
FISBUSD,FIS,BUSD
FISUSDT,FIS,USDT
OMBTC,OM,BTC
OMBUSD,OM,BUSD
OMUSDT,OM,USDT
PONDBTC,POND,BTC
PONDBUSD,POND,BUSD
PONDUSDT,POND,USDT
DEGOBTC,DEGO,BTC
DEGOBUSD,DEGO,BUSD
DEGOUSDT,DEGO,USDT
ALICEBTC,ALICE,BTC
ALICEBUSD,ALICE,BUSD
ALICEUSDT,ALICE,USDT
CHZBUSD,CHZ,BUSD
BIFIBUSD,BIFI,BUSD
LINABTC,LINA,BTC
LINABUSD,LINA,BUSD
LINAUSDT,LINA,USDT
PERPBTC,PERP,BTC
PERPBUSD,PERP,BUSD
PERPUSDT,PERP,USDT
RAMPBTC,RAMP,BTC
RAMPBUSD,RAMP,BUSD
RAMPUSDT,RAMP,USDT
SUPERBTC,SUPER,BTC
SUPERBUSD,SUPER,BUSD
SUPERUSDT,SUPER,USDT
CFXBTC,CFX,BTC
CFXBUSD,CFX,BUSD
CFXUSDT,CFX,USDT
XVGBUSD,XVG,BUSD
EPSBTC,EPS,BTC
EPSBUSD,EPS,BUSD
EPSUSDT,EPS,USDT
AUTOBTC,AUTO,BTC
AUTOBUSD,AUTO,BUSD
AUTOUSDT,AUTO,USDT
TKOBTC,TKO,BTC
TKOBUSD,TKO,BUSD
TKOUSDT,TKO,USDT
PUNDIXUSDT,PUNDIX,USDT
TLMBTC,TLM,BTC
TLMBUSD,TLM,BUSD
TLMUSDT,TLM,USDT
1INCHUPUSDT,1INCHUP,USDT
1INCHDOWNUSDT,1INCHDOWN,USDT
BTGBUSD,BTG,BUSD
BTGUSDT,BTG,USDT
HOTBUSD,HOT,BUSD
MIRBTC,MIR,BTC
MIRBUSD,MIR,BUSD
MIRUSDT,MIR,USDT
BARBTC,BAR,BTC
BARBUSD,BAR,BUSD
BARUSDT,BAR,USDT
FORTHBTC,FORTH,BTC
FORTHBUSD,FORTH,BUSD
FORTHUSDT,FORTH,USDT
EZBTC,EZ,BTC
BAKEUSDT,BAKE,USDT
BURGERBUSD,BURGER,BUSD
BURGERUSDT,BURGER,USDT
SLPBUSD,SLP,BUSD
SLPUSDT,SLP,USDT
SHIBUSDT,SHIB,USDT
SHIBBUSD,SHIB,BUSD
ICPBTC,ICP,BTC
ICPBUSD,ICP,BUSD
ICPUSDT,ICP,USDT
ARBTC,AR,BTC
ARBUSD,AR,BUSD
ARUSDT,AR,USDT
POLSBTC,POLS,BTC
POLSBUSD,POLS,BUSD
POLSUSDT,POLS,USDT
MDXBTC,MDX,BTC
MDXBUSD,MDX,BUSD
MDXUSDT,MDX,USDT
MASKBUSD,MASK,BUSD
MASKUSDT,MASK,USDT
LPTBTC,LPT,BTC
LPTBUSD,LPT,BUSD
LPTUSDT,LPT,USDT
AGIXBTC,AGIX,BTC
NUBTC,NU,BTC
NUBUSD,NU,BUSD
NUUSDT,NU,USDT
XVGUSDT,XVG,USDT
RLCBUSD,RLC,BUSD
CELRBUSD,CELR,BUSD
ATMBUSD,ATM,BUSD
ZENBUSD,ZEN,BUSD
FTMBUSD,FTM,BUSD
THETABUSD,THETA,BUSD
WINBUSD,WIN,BUSD
KAVABUSD,KAVA,BUSD
XEMBUSD,XEM,BUSD
ATABTC,ATA,BTC
ATABUSD,ATA,BUSD
ATAUSDT,ATA,USDT
GTCBTC,GTC,BTC
GTCBUSD,GTC,BUSD
GTCUSDT,GTC,USDT
TORNBTC,TORN,BTC
TORNBUSD,TORN,BUSD
TORNUSDT,TORN,USDT
BAKEBTC,BAKE,BTC
COTIBUSD,COTI,BUSD
KEEPBTC,KEEP,BTC
KEEPBUSD,KEEP,BUSD
KEEPUSDT,KEEP,USDT
SCBUSD,SC,BUSD
CHRBUSD,CHR,BUSD
STMXBUSD,STMX,BUSD
HNTBUSD,HNT,BUSD
FTTBUSD,FTT,BUSD
DOCKBUSD,DOCK,BUSD
ERNBUSD,ERN,BUSD
ERNUSDT,ERN,USDT
KLAYBTC,KLAY,BTC
KLAYBUSD,KLAY,BUSD
KLAYUSDT,KLAY,USDT
UTKBUSD,UTK,BUSD
IOTXBUSD,IOTX,BUSD
PHAUSDT,PHA,USDT
BONDBTC,BOND,BTC
BONDBUSD,BOND,BUSD
BONDUSDT,BOND,USDT
MLNBTC,MLN,BTC
MLNBUSD,MLN,BUSD
MLNUSDT,MLN,USDT
DEXEUSDT,DEXE,USDT
LTOBUSD,LTO,BUSD
ADXBUSD,ADX,BUSD
QUICKBTC,QUICK,BTC
QUICKBUSD,QUICK,BUSD
C98USDT,C98,USDT
C98BUSD,C98,BUSD
C98BTC,C98,BTC
CLVBTC,CLV,BTC
CLVBUSD,CLV,BUSD
CLVUSDT,CLV,USDT
QNTBTC,QNT,BTC
QNTBUSD,QNT,BUSD
QNTUSDT,QNT,USDT
FLOWBTC,FLOW,BTC
FLOWBUSD,FLOW,BUSD
FLOWUSDT,FLOW,USDT
XECBUSD,XEC,BUSD
TVKUSDT,TVK,USDT
MINABTC,MINA,BTC
MINABUSD,MINA,BUSD
MINAUSDT,MINA,USDT
RAYBUSD,RAY,BUSD
RAYUSDT,RAY,USDT
FARMBTC,FARM,BTC
FARMBUSD,FARM,BUSD
FARMUSDT,FARM,USDT
ALPACABTC,ALPACA,BTC
ALPACABUSD,ALPACA,BUSD
ALPACAUSDT,ALPACA,USDT
QUICKUSDT,QUICK,USDT
ORNBUSD,ORN,BUSD
MBOXBTC,MBOX,BTC
MBOXBUSD,MBOX,BUSD
MBOXUSDT,MBOX,USDT
VGXBTC,VGX,BTC
FORUSDT,FOR,USDT
REQUSDT,REQ,USDT
GHSTUSDT,GHST,USDT
WAXPUSDT,WAXP,USDT
WAXPBUSD,WAXP,BUSD
WAXPBTC,WAXP,BTC
TRIBEBTC,TRIBE,BTC
TRIBEBUSD,TRIBE,BUSD
TRIBEUSDT,TRIBE,USDT
GNOUSDT,GNO,USDT
GNOBUSD,GNO,BUSD
GNOBTC,GNO,BTC
PROMBTC,PROM,BTC
MTLBUSD,MTL,BUSD
OGNBUSD,OGN,BUSD
XECUSDT,XEC,USDT
POLYBUSD,POLY,BUSD
ELFUSDT,ELF,USDT
DYDXUSDT,DYDX,USDT
DYDXBUSD,DYDX,BUSD
DYDXBTC,DYDX,BTC
ELFBUSD,ELF,BUSD
POLYUSDT,POLY,USDT
IDEXUSDT,IDEX,USDT
VIDTUSDT,VIDT,USDT
USDPBUSD,USDP,BUSD
USDPUSDT,USDP,USDT
GALAUSDT,GALA,USDT
GALABUSD,GALA,BUSD
GALABTC,GALA,BTC
SUNBUSD,SUN,BUSD
ILVUSDT,ILV,USDT
ILVBUSD,ILV,BUSD
ILVBTC,ILV,BTC
RENBUSD,REN,BUSD
YGGUSDT,YGG,USDT
YGGBUSD,YGG,BUSD
YGGBTC,YGG,BTC
STXBUSD,STX,BUSD
SYSUSDT,SYS,USDT
DFUSDT,DF,USDT
FETBUSD,FET,BUSD
ARPABUSD,ARPA,BUSD
LSKBUSD,LSK,BUSD
FIDAUSDT,FIDA,USDT
FIDABUSD,FIDA,BUSD
FIDABTC,FIDA,BTC
DENTBUSD,DENT,BUSD
FRONTUSDT,FRONT,USDT
CVPUSDT,CVP,USDT
AGLDBTC,AGLD,BTC
AGLDBUSD,AGLD,BUSD
AGLDUSDT,AGLD,USDT
RADBTC,RAD,BTC
RADBUSD,RAD,BUSD
RADUSDT,RAD,USDT
HIVEBUSD,HIVE,BUSD
STPTBUSD,STPT,BUSD
BETABTC,BETA,BTC
BETABUSD,BETA,BUSD
BETAUSDT,BETA,USDT
RAREBTC,RARE,BTC
RAREBUSD,RARE,BUSD
RAREUSDT,RARE,USDT
TROYBUSD,TROY,BUSD
SSVBTC,SSV,BTC
LAZIOBTC,LAZIO,BTC
LAZIOUSDT,LAZIO,USDT
CHESSBTC,CHESS,BTC
CHESSBUSD,CHESS,BUSD
CHESSUSDT,CHESS,USDT
SCRTBUSD,SCRT,BUSD
ADXUSDT,ADX,USDT
